ID,RA±,NPD±,RA1860,RAF1860,NPD1860,Dec1860,DecF1860,Dsp
NGC 230,,,00 35 43,00h35m43s,114 22.9,-24 22.9,-24°22.9',"extremely faint, extremely small, round, brighter middle and nucleus"
NGC 231,,,00 35 51,00h35m51s,164 07.3,-74 7.3,-74°7.3',an irregular train of stars and nebulae
NGC 232,,,00 36 01,00h36m01s,114 19.9,-24 19.9,-24°19.9',"extremely faint, small, round, brighter middle and nucleus"
NGC 233,,,00 36 05,00h36m05s,60 11.0,29 49,29°49',"faint, very small, round, a little brighter middle"
NGC 234,,,00 36 11,00h36m11s,76 27.9,13 32.1,13°32.1',"faint, pretty small, irregularly a little extended, brighter middle"
NGC 235,,,00 36 13,00h36m13s,114 17.9,-24 17.9,-24°17.9',"extremely faint, small, round, brighter middle and nucleus"
NGC 236,,,00 36 14,00h36m14s,87 47,2 13,2°13',"very faint, pretty large"
NGC 237,,,00 36 33,00h36m33s,90 53.6,-0 53.6,-0°53.6',"very faint, pretty small, a little extended, a little brighter middle"
NGC 238,,,00 36 53,00h36m53s,140 56.7,-50 56.7,-50°56.7',"extremely faint, pretty large, round, gradually a very little brighter middle"
NGC 239,,,00 37 30,00h37m30s,94 32.9,-4 32.9,-4°32.9',"pretty faint, pretty small, extended 20°, brighter middle and nucleus, 8th magnitude star 20 seconds of time to east"
NGC 240,,,00 37 58,00h37m58s,84 39.3,5 20.7,5°20.7',"very faint, small, round, star near to south"
NGC 241,,,00 38 13,00h38m13s,164 11.7,-74 11.7,-74°11.7',"very faint, round"
NGC 242,,,00 38 19,00h38m19s,164 12.3,-74 12.3,-74°12.3',"very faint, small, bi-nuclear"
NGC 243,,,00 38 32,00h38m32s,60 48.5,29 11.5,29°11.5',"faint, very small, round, gradually brighter middle, 10th magnitude star to the west"
NGC 244,,,00 38 45,00h38m45s,106 21.0,-16 21,-16°21',"very faint, small, irregularly round, mottled but not resolved, 10th magnitude star 5 arcmin to south"
NGC 245,,,00 39 04,00h39m04s,92 29.2,-2 29.2,-2°29.2',"faint, pretty small, irregular figure, extremely mottled but not resolved"
NGC 246,,,00 40 01,00h40m01s,102 38.4,-12 38.4,-12°38.4',"very faint, large, 4 stars in diffuse nebula"
NGC 247,,,00 40 04,00h40m04s,111 31.0,-21 31,-21°31',"faint, extremely large, very much extended 172°"
NGC 248,,,00 40 13,00h40m13s,164 08.6,-74 8.6,-74°8.6',"faint, small, extended or binuclear, very gradually a little brighter middle"
NGC 249,,,00 40 18,00h40m18s,163 51.0,-73 51,-73°51',"faint, pretty large, very little extended, mottled but not resolved"
NGC 250,,,00 40 18,00h40m18s,82 52.0,7 8,7°8',"extremely faint, very small, round, among 3 stars"
NGC 251,,,00 40 32,00h40m32s,71 09.5,18 50.5,18°50.5',"very faint, small, round, a little brighter middle, star involved, 2 very small (faint) stars to east"
NGC 252,,,00 40 33,00h40m33s,63 08.6,26 51.4,26°51.4',"pretty bright, small, round, pretty much brighter middle, mottled but not resolved, double star to west"
NGC 253,,,00 40 38,00h40m38s,116 03.7,-26 3.7,-26°3.7',"a most remarkable object, very very bright, very very large, very much extended 54°, gradually brighter middle"
NGC 254,,,00 40 41,00h40m41s,122 11.5,-32 11.5,-32°11.5',"very bright, pretty small, a little extended, suddenly much brighter middle, 8th magnitude star 5 arcmin to northeast"
NGC 255,,,00 40 44,00h40m44s,102 14.7,-12 14.7,-12°14.7',"faint, pretty small, round, gradually brighter middle"
NGC 256,,,00 40 44,00h40m44s,164 16.7,-74 16.7,-74°16.7',"faint, small, round, gradually brighter middle, 9th magnitude star 40 arcsec to northeast"
NGC 257,,,00 40 47,00h40m47s,82 27.2,7 32.8,7°32.8',"pretty large, a little extended, gradually brighter middle, mottled but not resolved"
NGC 258,,,00 40 50,00h40m50s,63 07,26 53,26°53',"extremely faint, small, very faint star close"
NGC 259,,,00 40 54,00h40m54s,93 32.7,-3 32.7,-3°32.7',"faint, small, extended 135°, a little brighter middle"
NGC 260,,,00 41 08,00h41m08s,63 04.8,26 55.2,26°55.2',"extremely faint, pretty small, a little extended"
NGC 261,,,00 41 24,00h41m24s,163 52.1,-73 52.1,-73°52.1',"faint, pretty large, round, gradually brighter middle equivalent to 13th magnitude star"
NGC 262,,,00 41 29,00h41m29s,58 48.4,31 11.6,31°11.6',"extremely faint, very small, round, very difficult"
NGC 263,,,00 41 30,00h41m30s,103 53.9,-13 53.9,-13°53.9',"extremely faint, very small, a little extended 30°"
NGC 264,,,00 41 42,00h41m42s,129 00.3,-39 00.3,-39°00.3',"faint, small, round, very suddenly very much brighter middle equal to 13th magnitude star"
NGC 265,,,00 42 04,00h42m04s,164 15.1,-74 15.1,-74°15.1',"faint, pretty small, round"
NGC 266,,,00 42 14,00h42m14s,58 29.2,31 30.8,31°30.8',"pretty bright, pretty small, a little extended, pretty suddenly brighter middle, mottled but not resolved, 8th magnitude star 4 arcmin to southeast"
NGC 267,,,00 42 50,00h42m50s,164 02.6,-74 2.6,-74°2.6',"a cluster, faint, pretty large, stars very small (faint)"
NGC 268,,,00 43 01,00h43m01s,95 58.0,-5 58,-5°58',"very faint, pretty small, irregularly a little extended, mottled but not resolved"
NGC 269,,,00 43 21,00h43m21s,164 18.0,-74 18,-74°18',"very faint, small, round"
NGC 270,,,00 43 29,00h43m29s,99 25.7,-9 25.7,-9°25.7',"pretty faint, very small, irregularly round, pretty gradually brighter middle"
NGC 271,,,00 43 34,00h43m34s,92 40.4,-2 40.4,-2°40.4',"pretty faint, small, a little extended, pretty suddenly brighter middle, 8th magnitude star 5.5 seconds of time to east"
NGC 272,,,00 43 41,00h43m41s,54 55.3,35 4.7,35°4.7',"a cluster, large, a little compressed"
NGC 273,,,00 43 47,00h43m47s,97 39.3,-7 39.3,-7°39.3',"very faint, very small"
NGC 274,,,00 43 57,00h43m57s,97 49.7,-7 49.7,-7°49.7',"pretty bright, pretty small, suddenly much brighter middle, northwestern of 2"
NGC 275,,,00 44 00,00h44m00s,97 50.2,-7 50.2,-7°50.2',"very faint, small, round, southeastern of 2"
NGC 276,,,00 44 01,00h44m01s,113 27.9,-23 27.9,-23°27.9',"extremely faint, pretty small, extended 265°, 11th magnitude star 3 arcmin to north"
NGC 277,,,00 44 12,00h44m12s,99 21.2,-9 21.2,-9°21.2',"faint, pretty small, 11th magnitude star to northwest"
NGC 278,,,00 44 12,00h44m12s,43 12.3,46 47.7,46°47.7',"considerably bright, pretty large, round, 2 stars of 10th magnitude near"
NGC 279,,,00 45 00,00h45m00s,92 59.2,-2 59.2,-2°59.2',"very faint, small, irregularly round, brighter middle, stellar"
NGC 280,,,00 45 00,00h45m00s,66 25.4,23 34.6,23°34.6',"extremely faint, small, round, 15th magnitude star 30 arcsec to east"
NGC 281,,,,,,,,
NGC 282,,,00 45 11,00h45m11s,60 07.4,29 52.6,29°52.6',"faint, small, round, a little brighter middle"
NGC 283,,,00 45 30,00h45m30s,103 55.8,-13 55.8,-13°55.8',"extremely faint, small, round, 1st of 4"
NGC 284,,,00 45 30,00h45m30s,103 55.8,-13 55.8,-13°55.8',"extremely faint, small, round, 2nd of 4"
NGC 285,,,00 45 30,00h45m30s,103 55.8,-13 55.8,-13°55.8',"extremely faint, small, round, 3rd of 4"
NGC 286,,,00 45 30,00h45m30s,103 55.8,-13 55.8,-13°55.8',"extremely faint, small, round, 4th of 4"
NGC 287,,,00 45 52,00h45m52s,58 17.0,31 43,31°43',"extremely faint, small, round (perhaps RA (00) 46 52?)"
NGC 288,,,00 45 52,00h45m52s,117 20.7,-27 20.7,-27°20.7',deprecated
NGC 289,,,00 45 58,00h45m58s,121 57.9,-31 57.9,-31°57.9',"very bright, large, pretty much extended, gradually brighter middle, 11th magnitude star to northwest"
NGC 290,,,00 46 17,00h46m17s,163 54.8,-73 54.8,-73°54.8',extremely faint
NGC 291,,,00 46 27,00h46m27s,99 32,-9 32,-9°32',"very faint, very small, a little extended, almost stellar"
NGC 292,,,00 46 34,00h46m34s,164 06.6,-74 6.6,-74°6.6',"a cluster, faint, most extremely large, round, stars from 12th to 18th magnitude"
NGC 293,,,00 47 11,00h47m11s,98 00,-8 00,-8°00',"very faint, small"
NGC 294,,,00 47 15,00h47m15s,164 08.5,-74 8.5,-74°8.5',"very faint, pretty large, round, very gradually a little brighter middle, mottled but not resolved"
NGC 295,,,00 47 30,00h47m30s,59 13.8,30 46.2,30°46.2',"faint, small, round, star 10 arcsec north, II 214 to northeast"
NGC 296,,,00 47 52,00h47m52s,59 11.3,30 48.7,30°48.7',"faint, extended, with a bright star to the east (and very near)"
NGC 297,,,00 47 56,00h47m56s,98 07,-8 7,-8°7',extremely faint
NGC 298,,,00 47 58,00h47m58s,98 06,-8 6,-8°6',pretty faint
NGC 299,,,00 48 23,00h48m23s,162 57.4,-72 57.4,-72°57.4',"pretty bright, very small, round, gradually a very little brighter middle, mottled but not resolved"
NGC 300,,,00 48 25,00h48m25s,128 27.1,-38 27.1,-38°27.1',"pretty bright, very large, very much irregularly extended, very gradually pretty much brighter middle"
NGC 301,,,00 48 30,00h48m30s,101 25.8,-11 25.8,-11°25.8',"extremely faint, small, irregularly round, gradually brighter middle, 8th magnitude star 30 seconds of time to west"
NGC 302,,,00 48 30,00h48m30s,101 24.8,-11 24.8,-11°24.8',"extremely faint, very small"
NGC 303,,,00 48 30,00h48m30s,107 25.8,-17 25.8,-17°25.8',"extremely faint, very small"
NGC 304,,,00 48 39,00h48m39s,66 37.8,23 22.2,23°22.2',"pretty faint, small, round, suddenly a very little brighter middle"
NGC 305,,,00 49 00,00h49m00s,78 40.9,11 19.1,11°19.1',"a cluster, small, scattered stars"
NGC 306,,,00 49 16,00h49m16s,163 00,-73 00,-73°00',"faint, very small"
NGC 307,,,00 49 25,00h49m25s,92 31.5,-2 31.5,-2°31.5',"pretty faint, small, extended"
NGC 308,,,00 49 27,00h49m27s,92 32.2,-2 32.2,-2°32.2',"very faint, extremely small, 1 arcmin southeast of h 77"
NGC 309,,,00 49 30,00h49m30s,100 42.5,-10 42.5,-10°42.5',"pretty bright, pretty large, 12th or 13th magnitude star to north"
NGC 310,,,00 49 41,00h49m41s,92 31.1,-2 31.1,-2°31.1',stellar
NGC 311,,,00 49 58,00h49m58s,60 28.6,29 31.4,29°31.4',"pretty faint, very small, round, gradually brighter middle"
NGC 312,,,00 50 04,00h50m04s,143 32.1,-53 32.1,-53°32.1',"faint, small, round, 12th magnitude star to east"
NGC 313,,,00 50 09,00h50m09s,60 23.5,29 36.5,29°36.5',"very faint, extremely small, 1 arcmin northwest of II 210"
NGC 314,,,00 50 11,00h50m11s,122 43.2,-32 43.2,-32°43.2',"extremely faint, very small, round, pretty bright star 2 arcmin to east"
NGC 315,,,00 50 13,00h50m13s,60 24.4,29 35.6,29°35.6',"pretty bright, pretty large, round, gradually brighter middle, 9th magnitude star 3 arcmin to northeast"
NGC 316,,,,,,,,
NGC 317,,,00 50 16,00h50m16s,46 56.7,43 3.3,43°3.3',"most extremely faint, pretty small, a little extended, double star close to east"
NGC 318,,,00 50 28,00h50m28s,60 19.8,29 40.2,29°40.2',"very faint, very small, round, brighter middle"
NGC 319,,,00 50 29,00h50m29s,134 35.9,-44 35.9,-44°35.9',"extremely faint, very small, round, a little brighter middle"
NGC 320,,,00 50 30,00h50m30s,111 35.8,-21 35.8,-21°35.8',"very faint, pretty small, extended 160°, 10th magnitude star to north"
NGC 321,,,00 50 34,00h50m34s,95 51,-5 51,-5°51',"extremely faint, very small"
NGC 322,,,00 50 36,00h50m36s,134 30.0,-44 30,-44°30',"very faint, very small, round, a little brighter middle, 3 stars to west"
NGC 323,,,00 50 37,00h50m37s,143 44.0,-53 44,-53°44',"pretty faint, small, round, brighter middle, western of 2"
NGC 324,,,00 50 40,00h50m40s,131 12.6,-41 12.6,-41°12.6',"questionable?, faint, small, stellar"
NGC 325,,,00 50 41,00h50m41s,95 53,-5 53,-5°53',"very faint, very small"
NGC 326,,,00 50 49,00h50m49s,63 53.1,26 6.9,26°6.9',"faint, a little extended, 9th or 10th magnitude star to southeast"
NGC 327,,,00 50 50,00h50m50s,95 54,-5 54,-5°54',"faint, small, extended"
NGC 328,,,00 50 52,00h50m52s,143 40.0,-53 40,-53°40',"very faint, a little extended, very gradually brighter middle, eastern of 2"
NGC 329,,,00 50 56,00h50m56s,95 50,-5 50,-5°50',"faint, extended"
NGC 330,,,00 51 27,00h51m27s,163 13.6,-73 13.6,-73°13.6',"a globular cluster, very bright, small, a little extended, stars from 13th to 15th magnitude"
NGC 331
NGC 332,,,00 51 32,00h51m32s,83 38.5,6 21.5,6°21.5',"very faint, small, round, several stars near to south"
NGC 333,,,00 51 54,00h51m54s,107 18,-17 18,-17°18',
NGC 334,,,00 52 11,00h52m11s,125 53.4,-35 53.4,-35°53.4',"very faint, small, round, gradually a little brighter middle, 2 stars of 11th magnitude to south"
NGC 335,,,00 52 30,00h52m30s,109 01.8,-19 1.8,-19°1.8',"very faint, pretty small, extended, brighter middle"
NGC 336,,,00 52 30,00h52m30s,109 10.8,-19 10.8,-19°10.8',"very faint, very small, round, suddenly brighter middle"
NGC 337,,,00 52 46,00h52m46s,98 19.9,-8 19.9,-8°19.9',"pretty faint, large, extended, gradually a little brighter middle, 10th magnitude star 21 seconds of time to the east"
NGC 338,,,00 53 00,00h53m00s,60 05.2,29 54.8,29°54.8',"very faint, very small, irregular figure, brighter middle"
NGC 339,,,00 53 13,00h53m13s,165 12.5,-75 12.5,-75°12.5',"faint, large, round, very gradually brighter middle"
NGC 340,,,00 53 30,00h53m30s,97 37,-7 37,-7°37',"very faint, small, extended"
NGC 341,,,00 53 44,00h53m44s,99 56.6,-9 56.6,-9°56.6',"faint, pretty large, round, a little brighter middle, mottled but not resolved"
NGC 342,,,00 53 46,00h53m46s,97 32,-7 32,-7°32',"very faint, very small"
NGC 343,,,00 54 02,00h54m02s,113 58.8,-23 58.8,-23°58.8',"extremely faint, very small, irregularly round, suddenly brighter middle and nucleus (perhaps a star?)"
NGC 344,,,00 54 02,00h54m02s,113 59.8,-23 59.8,-23°59.8',"extremely faint, very small, irregularly round, suddenly brighter middle and nucleus (perhaps a star?)"
NGC 345,,,00 54 17,00h54m17s,97 38,-7 38,-7°38',"very faint, very small, gradually brighter middle"
NGC 346,,,00 54 20,00h54m20s,162 56.1,-72 56.1,-72°56.1',"bright, large, very irregular figure, much brighter middle similar to double star, mottled but not resolved"
NGC 347,,,,,,,,
NGC 348,,,00 54 45,00h54m45s,143 59.8,-53 59.8,-53°59.8',"extremely faint, small, round"
NGC 349,,,00 54 47,00h54m47s,97 34,-7 34,-7°34',"very faint, very small"
NGC 350,,,00 54 54,00h54m54s,97 34,-7 34,-7°34',extremely faint
NGC 351,,,00 55 02,00h55m02s,92 41.9,-2 41.9,-2°41.9',"extremely faint, pretty small, northwestern of 2"
NGC 352,,,00 55 05,00h55m05s,94 59.8,-4 59.8,-4°59.8',"pretty faint, small, irregularly extended, 8th magnitude star 97 seconds of time to east"
NGC 353,,,00 55 24,00h55m24s,92 43.4,-2 43.4,-2°43.4',"extremely faint, pretty small, round, southeastern of 2"
NGC 354,,,00 55 47,00h55m47s,68 24.5,21 35.5,21°35.5',"very faint, very small, round, very small (faint) star involved, 14th magnitude star close to west"
NGC 355,,,00 56 01,00h56m01s,97 05,-7 5,-7°5',"extremely faint, very small"
NGC 356,,,00 56 05,00h56m05s,97 44,-7 44,-7°44',"very faint, small, irregularly round"
NGC 357,,,00 56 16,00h56m16s,97 05.8,-7 5.8,-7°5.8',"faint, small, irregularly round, suddenly brighter middle, 14th magnitude star 20 arcsec to northeast"
NGC 358,,,00 56 28,00h56m28s,28 42.7,61 17.3,61°17.3',"a cluster, very little rich"
NGC 359,,,00 57 08,00h57m08s,91 31,-1 31,-1°31',"extremely faint, very small"
NGC 360,,,00 57 27,00h57m27s,156 21.5,-66 21.5,-66°21.5',"extremely faint, very much extended 145°, a very little brighter middle"
NGC 361,,,00 57 29,00h57m29s,162 22.6,-72 22.6,-72°22.6',"very very faint, pretty large, very little extended, very gradually brighter middle"
NGC 362,,,00 57 29,00h57m29s,161 36.0,-71 36,-71°36',"a globular cluster, very bright, very large, very compressed, very much brighter middle, stars from 13th to 14th magnitude"
NGC 363,,,00 57 30,00h57m30s,107 18.7,-17 18.7,-17°18.7',"extremely faint, extremely small, round"
NGC 364,,,00 57 31,00h57m31s,91 33,-1 33,-1°33',"very faint, very small"
NGC 365,,,00 57 44,00h57m44s,125 53.8,-35 53.8,-35°53.8',"faint, small, round, gradually a little brighter middle"
NGC 366,,,00 57 46,00h57m46s,28 34.1,61 25.9,61°25.9',"a cluster, small"
NGC 367,,,00 57 54,00h57m54s,102 53.7,-12 53.7,-12°53.7',"extremely faint, pretty small, extended 175°, brighter on the north side, 3 stars of 12th magnitude to northwest"
NGC 368,,,00 57 58,00h57m58s,134 01.8,-44 1.8,-44°1.8',"extremely faint, very small, 7th or 8th magnitude star 3 arcmin to southwest"
NGC 369,,,00 58 30,00h58m30s,108 33.7,-18 33.7,-18°33.7',"very faint, very small, round, gradually brighter middle"
NGC 370,,,00 58 53,00h58m53s,58 20.3,31 39.7,31°39.7',"very faint, 13th magnitude star 15 arcsec to south, diffuse"
NGC 371,,,00 58 56,00h58m56s,162 48.5,-72 48.5,-72°48.5',"a cluster, faint, large, round, pretty compressed, stars from 14th to 16th magnitude"
NGC 372,,,00 59 02,00h59m02s,58 19.4,31 40.6,31°40.6',"stellar, much brighter middle, mottled but not resolved"
NGC 373,,,00 59 14,00h59m14s,58 26.6,31 33.4,31°33.4',"very faint, very small"
NGC 374,,,00 59 21,00h59m21s,57 57.3,32 2.7,32°2.7',"faint, small, between two 15th magnitude stars"
NGC 375,,,00 59 23,00h59m23s,58 24.2,31 35.8,31°35.8',"very faint, very small"
NGC 376,,,00 59 27,00h59m27s,163 34.4,-73 34.4,-73°34.4',"a globular cluster, bright, small, round"
NGC 377,,,00 59 30,00h59m30s,110 47.7,-20 47.7,-20°47.7',"very faint, very small, much extended, suddenly brighter middle and nucleus"
NGC 378,,,00 59 32,00h59m32s,120 55.9,-30 55.9,-30°55.9',"very faint, small, round, gradually brighter middle"
NGC 379,,,00 59 34,00h59m34s,58 13.8,31 46.2,31°46.2',"pretty faint, small, round, brighter middle"
NGC 380,,,00 59 36,00h59m36s,58 16.0,31 44,31°44',"pretty faint, small, round, suddenly brighter middle"
NGC 381,,,00 59 40,00h59m40s,29 10,60 50,60°50',"a cluster, pretty compressed"
NGC 382,,,00 59 42,00h59m42s,58 20.7,31 39.3,31°39.3',"very faint, small, round, southwestern of double nebula"
NGC 383,,,00 59 43,00h59m43s,58 20.2,31 39.8,31°39.8',"pretty faint, pretty large, round, gradually brighter middle, northeastern of double nebula"
NGC 384,,,00 59 43,00h59m43s,58 27.3,31 32.7,31°32.7',"pretty faint, pretty small, southwestern of 2"
NGC 385,,,00 59 45,00h59m45s,58 25.7,31 34.3,31°34.3',"pretty faint, pretty small, round, northeastern of 2"
NGC 386,,,00 59 48,00h59m48s,58 23.3,31 36.7,31°36.7',"considerably faint, small, round"
NGC 387,,,00 59 50,00h59m50s,58 21.6,31 38.4,31°38.4',"very faint, small, round"
NGC 388,,,01 00 04,01h00m04s,58 27.3,31 32.7,31°32.7',"very faint, small, round"
NGC 389,,,01 00 06,01h00m06s,51 01.5,38 58.5,38°58.5',"extremely faint, extremely small, round, star near"
NGC 390,,,01 00 13,01h00m13s,58 18.5,31 41.5,31°41.5',"very faint, very small, stellar"
NGC 391,,,01 00 14,01h00m14s,89 48.9,0 11.1,0°11.1',"faint, small, mottled but not resolved (Auwers 9)"
NGC 392,,,01 00 40,01h00m40s,57 36.9,32 23.1,32°23.1',"faint, very small, round, much brighter middle, between 2 stars"
NGC 393,,,01 00 44,01h00m44s,51 06.2,38 53.8,38°53.8',"faint, very small, very little extended, gradually brighter middle, four small (faint) stars near"
NGC 394,,,01 00 44,01h00m44s,57 36.2,32 23.8,32°23.8',"faint, small, 50 arcsec northeast of II 218"
NGC 395,,,01 00 46,01h00m46s,162 44.6,-72 44.6,-72°44.6',"very faint, pretty large, round, gradually a little brighter middle"
NGC 396,,,01 00 49,01h00m49s,86 13,3 47,3°47',"extremely faint, small, a little extended"
NGC 397,,,01 00 52,01h00m52s,57 38.2,32 21.8,32°21.8',"extremely faint, small, round, very faint star to west"
NGC 398,,,01 01 12,01h01m12s,58 14,31 46,31°46',"very faint, very small, stellar"
NGC 399,,,01 01 14,01h01m14s,58 06.9,31 53.1,31°53.1',"very faint, small, round"
NGC 400,,,01 01 19,01h01m19s,58 00.9,31 59.1,31°59.1',"extremely faint, very small, GC 217 to east"
NGC 401,,,01 01 22,01h01m22s,57 59.1,32 0.9,32°0.9',"extremely faint, stellar, 217 to east"
NGC 402,,,01 01 27,01h01m27s,57 56.5,32 3.5,32°3.5',"extremely faint, very small, round, 217 three arcmin to south"
NGC 403,,,01 01 30,01h01m30s,57 59.8,32 0.2,32°0.2',"very faint, pretty small, considerably extended, 11th magnitude star 85 arcsec to south"
