No.,G.C.,J.H.,W.H.,Obsver,h,m,s,+-,AP1,°,',+-,AP2,Dsp,Notes
N5969,...,...,...,Sw II,15,31,29,,+1.44,33,04.8,,+12.1,"eS, R, stellar",...
N5970,4122,...,II 76,d'A,15,31,53,,+2.83,77,21.5,,+12.0,"pF, pL, R, rr",...
N5971,...,...,...,Sw II,15,32,09,,+1.44,33,04.8,,+12.0,"eeF, vS, R, lbM",...
N5972,...,...,...,St XI,15,32,31,,+2.74,72,30.9,,+12.0,"F, pS, irrR",...
N5973,5785,...,...,m 291,15,32,44,,+3.23,98,09,,+11.9,"F, S, iR",...
N5974,4123,1932,...,...,15,33,26,,+2.40,57,46.7,,+11.9,"vF, vS, R, bM",...
N5975,...,...,...,St XII,15,33,48,,+2.64,68,04.4,,+11.9,"vF, vS, irrR, sev vF st inv",...
N5976,4124,...,...,Ld R,15,34,00,,+1.21,30,06.4,,+11.8,"eeF, S, R",...
N5977,...,...,...,St VI,15,34,11,,+2.73,72,25.1,,+11.8,"eF, S, R, lbM",...
N5978,...,...,...,L I,15,34,20,,+3.32,102,46.1,,+11.8,"eF, vS, sbMN, am st",...
N5979,4125,3610,...,...,15,34,54,,+5.01,150,46.4,,+11.8,"!, PN, pF, vS, R, r? am 150 st",#
N5980,4126,1933,II 655,...,15,35,00,,+2.76,73,45.6,,+11.8,"F, pS, E 0d",...
N5981,4127,...,...,Ld R,15,35,03,,+1.21,30,09.0,,+11.8,"F, mE",...
N5982,4128,1934,II 764,"d'A, Rumker",15,35,49,,+1.21,30,11.4,,+11.7,"cB, S, R, psbM, r",...
N5983,5786,...,...,m 292,15,35,59,,+2.91,81,18.0,,+11.7,"eF, eS, R, vlbM",...
N5984,4129,...,II 656,...,15,36,21,,+2.79,75,20.8,,+11.7,"pB, S, E, 135d+-, bM",...
N5985,4131=4133,...,II 766,"Sch II, Rumker",15,36,46,,+1.22,30,13.0,,+11.7,"pB, cL, iE, r",...
N5986,4132,3611,...,Dunlop 552,15,36,53,,+3.90,127,19.4,,+11.6,"!, GC, vB, L, R, vgbM, st 13...15",...
N5987,4130,...,II 765,d'A,15,36,56,,+1.31,31,27.5,,+11.7,"pF, cS",...
N5988,...,...,...,Sw VI,15,37,39,,+2.86,79,15.4,,+11.6,"eeF, pS, R, F * nr n",...
N5989,4134,...,III 738,...,15,38,47,,+1.17,29,47.6,,+11.6,"vF, vS",...
N5990,4135,1935,II 425,...,15,39,16,,+3.02,87,08.9,,+11.5,"vF, vS, R, gbM",...
N5991,...,...,...,St X,15,39,19,,+2.56,64,55.7,,+11.5,"pF, S, R, mbM",...
N5992,4136,1936,III 635,...,15,39,30,,+2.10,48,26.7,,+11.5,"vF, vS, R, bM, sp of 2",...
N5993,4137,1937,III 636,...,15,39,33,,+2.10,48,26.1,,+11.5,"cF, vS, R, bM, nf of 2",...
N5994,...,...,...,Ld R,15,40,,,+2.71,71,41,,+11.4,"S, sp II 97",...
N5995,4138,3613,...,...,15,40,39,,+3.33,103,19.2,,+11.4,"eF, S, R, vS * p",...
N5996,4139,1938,II 97,...,15,40,40,,+2.71,71,40.4,,+11.4,"pF, cS, R, r, bet 2 D st",...
N5997,5787,...,...,m 293,15,40,41,,+2.90,81,15,,+11.4,"eF, eeS, stell",...
N5998,4140,...,VII 29,...,15,40,56,,+3.66,118,10.5,,+11.4,"Cl, pL, pRi, st vS",...
N5999,4141,3612,...,Dunlop 343,15,41,07,,+4.72,146,02.7,,+11.3,"Cl, L, pRi, st 12...14",...
N6000,4142,3614,...,...,15,41,11,,+3.68,118,57.3,,+11.3,"vF, S, R, sbM",...
N6001,4143,...,III 371,...,15,42,04,,+2.46,60,54.9,,+11.3,"vF, S, R",...
N6002,5788,...,...,Ld R*,15,42,04,,+2.46,60,56.6,,+11.3,"Neb 100"" s of III 371",...
N6003,...,...,...,St X,15,43,10,,+2.69,70,32.2,,+11.2,"F, vS, S * inv",...
N6004,...,...,...,St X,15,44,07,,+2.96,70,38.1,,+11.1,"vF, pL, lE, lbM",...
N6005,4144,3615,...,Dunlop 334,15,44,35,,+4.80,147,01.0,,+11.1,"Cl, ppS, pRi, mC, st 16",...
N6006,5789,...,...,m 294,15,46,27,,+2.83,77,35,,+11.0,"vF, S",...
N6007,5790,...,...,m 295,15,46,46,,+2.83,77,38,,+11.0,"F, pL",...
N6008,...,...,...,St XI,15,46,48,,+2.63,68,28.8,,+10.9,"vF, R, pL, bM",...
N6009,5791,...,...,m 296,15,46,48,,+2.83,77,31,,+11.0,"F, vS, stell",...
N6010,4145,1939,II 583,...,15,47,10,,+3.05,89,02.3,,+10.9,"pF, S, E 90d+-, gbM, r",...
N6011,4146,...,III 313,...,15,47,36,,-0.48,17,24.9,,+11.0,"vF, S, E 90d+-, vS * f",...
N6012,4147,...,II 657,...,15,47,49,,+2.77,75,00.0,,+10.9,"F, bet 2 B st",...
N6013,5792,...,...,St VII,15,47,59,,+2.10,48,56.3,,+10.9,"eF, vS, iR, lbM",...
N6014,4148,1940,...,...,15,49,04,,+2.95,83,39.5,,+10.8,"pB, pL, E",...
N6015,4149,...,III 739,...,15,49,23,,+0.89,27,16.0,,+10.8,"vF, pL, R, vgbM (d'A: B, mE)",...
N6016,5793,...,...,m 297,15,50,04,,+2.49,62,38,,+10.7,"vF, S, E",...
N6017,4150,1941,...,...,15,50,22,,+2.95,83,35.7,,+10.7,"!, vF, vS, R, disc g, smbM",...
N6018,4151,1942,III 646,...,15,51,05,,+2.74,73,42.7,,+10.6,"vF, S, lE, p of 2",...
N6019,...,...,...,Sw IV,15,51,05,,+0.62,24,43.7,,+10.7,"eeF, S, R, v diffic",...
N6020,5794,...,...,St VII,15,51,05,,+2.60,67,11.2,,+10.6,"eF, eS, iR, lbM",...
N6021,4152,1943,III 73,...,15,51,07,,+2.74,73,37.7,,+10.6,"eF, vS, lE, f of 2",...
N6022,...,...,...,St XII,15,51,25,,+2.73,73,18.7,,+10.6,"eF, eS",...
N6023,...,...,...,St XII,15,51,28,,+2.73,73,17.0,,+10.6,"F, S, R, bM",...
N6024,...,...,...,Sw IV,15,51,50,,+0.61,24,40.0,,+10.6,"pF, pS, R, bM, * close",...
N6025,4153,3616,...,"Lac III 10, D304",15,51,51,,+5.06,150,06.0,,+10.5,"Cl, B, vL, pRi, lC, st 7...",...
N6026,4154,3617,...,...,15,52,19,,+3.85,124,08.6,,+10.5,"F, S, R, gpmbM, triangle of st np",...
N6027,...,...,...,St XII,15,53,03,,+2.63,68,49.8,,+10.5,"eF, vF, * inv, 2 vF st nr",...
N6028,...,...,...,Bigourdan,15,55,20,,+2.66,70,14,,+10.2,"vF, pS, no Nucl",...
N6029,5795,...,...,m 298,15,55,24,,+2.81,77,01,,+10.2,"vF, vS",...
N6030,...,...,...,St XIII,15,55,35,,+2.69,71,39.0,,+10.3,"pF, vS, R, bM",...
N6031,4155,3618,...,Dunlop 359,15,56,43,,+4.64,143,38.5,,+10.2,"Cl, S, mC, st 11...14",...
N6032,...,...,...,St XI,15,56,54,,+2.62,68,39.1,,+10.2,"vF, pL, lE, vlbM, np of 2",...
N6033,5796,...,...,m 299,15,57,09,,+3.11,91,44,,+10.2,vF neb *,...
N6034,...,...,...,Sw IV,15,57,10,,+2.72,72,23.3,,+10.2,"eeF, vS, R, v diffic",...
N6035,...,...,...,St XI,15,57,17,,+2.62,68,43.1,,+10.2,"vF, pL, lE, sf of 2",...
N6036,5797,...,...,m 300,15,57,31,,+2.99,85,45,,+10.2,"vF, vS, R, stell",...
N6037,5798,...,...,m 301,15,57,32,,+2.99,85,49,,+10.2,"vF, S",...
N6038,4156,1944,III 622,...,15,57,35,,+2.18,52,15.6,,+10.2,"vF, S, R, *10 sf",...
N6039,...,...,...,Sw IV,15,58,08,,+2.70,71,55.2,,+10.1,"eeF, vS, R, sp of 3 in line",*
N6040,5799,...,...,St I,15,58,09,,+2.69,71,51.9,,+10.1,"vF, eS, F * close",...
N6041,5800,...,...,St I,15,58,18,,+2.69,71,53.6,,+10.1,"F, S",...
N6042,5801,...,...,St I,15,58,22,,+2.69,71,54.8,,+10.1,"vF, vS",...
N6043,...,...,...,Sw IV,15,58,31,,+2.69,71,49.7,,+10.1,"eeF, pS, lE, 4th of 10",...
N6044,...,...,...,Sw IV,15,58,33,,+2.69,71,43.7,,+10.1,"eeF, vS, R, vF * close p",...
N6045,...,...,...,Sw IV,15,58,38,,+2.69,71,50.7,,+10.1,"eeF, vS, R, v diffic",...
N6046,4157,...,III 33,...,15,58,43,,+2.66,70,16.2,,+10.1,"eF, pL, partly verified",...
N6047,...,...,...,Sw IV,15,58,43,,+2.69,71,53.2,,+10.1,"eF, R, pS, F * close n",...
N6048,4158,...,II 873,...,15,58,44,,-0.28,18,55.1,,+10.1,"F, R, bM",...
N6049,4159,1945,...,...,15,58,51,,+2.90,81,31.3,,+10.0,*7 in photosphere,...
N6050,...,...,...,Sw IV,15,58,53,,+2.69,71,51.3,,+10.0,"eeF, S, R, v diffic",...
N6051,...,...,...,St XII,15,58,59,,+2.55,65,41.1,,+10.0,"F, S, R, gbMN, *10 sf",...
N6052,5802,...,...,m 302,15,59,05,,+2.62,69,04,,+10.0,"F, pL, iR (? = III 140)",...
N6053,...,...,...,Sw III,15,59,07,,+2.69,71,28.9,,+10.0,"eeF, S, R, v diffic",...
N6054,...,...,...,Sw IV,15,59,08,,+2.69,71,50.3,,+10.0,"eeF, pS, lE, F * sp",...
N6055,...,...,...,Sw III,15,59,12,,+2.69,71,28.9,,+10.0,"eeF, pS, R, v diffic",...
N6056,...,...,...,Sw III,15,59,17,,+2.69,71,40.0,,+10.0,"eeF, v diffic",...
N6057,...,...,...,Sw III,15,59,22,,+2.69,71,29.3,,+10.0,"eeF, eS, R",...
N6058,4160,1946,III 637,...,15,59,37,,+2.07,48,55.9,,+10.0,"pF, vS, R, stellar",#
N6059,...,...,...,Sw III,15,59,45,,+3.20,96,02.0,,+10.0,"vF, S, R",...
N6060,5803,...,...,St VIII,15,59,46,,+2.61,68,08.0,,+10.0,"eF, E, sbM",...
N6061,...,...,...,Sw III,15,59,55,,+2.69,71,22.3,,+10.0,"eeF, S, R, 4 B st s",...
N6062,...,...,...,St XIII,16,00,12,,+2.65,69,50.5,,+10.0,"eF, R, vlbM, r",...
N6063,...,...,...,St XII,16,00,27,,+2.90,81,38.6,,+9.9,"F, pL, R, vlbM",...
N6064,4161,...,III 140,...,16,00,51,,+2.63,69,04.0,,+9.9,"vF, vS, r, pB * sf (? = m 302)",...
N6065,...,...,...,Sw VI,16,01,01,,+2.78,75,43.5,,+9.8,"eeF, vS, R, sp of 2",...
N6066,...,...,...,Sw VI,16,01,07,,+2.78,75,40.3,,+9.8,"eeF, vS, R, 2 pB st nrs, nf of 2",...
N6067,4162,3619,...,Dunlop 360,16,02,19,,+4.68,143,50.7,,+9.7,"Cl, vB, vL, vRi, lC, st 10...",...
N6068,4163,...,III 973,...,16,02,40,,-3.08,10,38.7,,+9.9,"Vf, vS, lE 0d, r",...
N6069,...,...,...,St XII,16,02,45,,+2.12,50,41.7,,+9.8,"vF * in vF, vS, R neb",...
N6070,4164,1947,III 553,...,16,02,51,,+3.05,88,55.1,,+9.7,"F, L, pmE, vgbM, r",...
N6071,4165,...,III 883,...,16,03,33,,-0.27,19,13.7,,+9.8,"eF, vS",...
N6072,4166,3620,...,...,16,03,45,,+3.92,125,52.7,,+9.7,"pF, R, vgvlbM, r",...
N6073,4167,1948,III 74,...,16,03,52,,+2.71,72,55.7,,+9.7,"vF, S, r",...
N6074,5804,...,...,St VII,16,04,50,,+2.77,75,22.5,,+9.6,"eF, vS, R, bM",...
N6075,...,...,...,St XII,16,05,27,,+2.54,65,40.4,,+9.5,"F, vS, R, * or st inv?, rr",...
N6076,5805,...,...,m 303,16,05,28,,+2.74,62,45,,+9.5,"vF, S, E",...
N6077,5806,...,...,m 304,16,05,29,,+2.47,62,42,,+9.5,"F, sbM",...
N6078,5807,...,...,St VII,16,05,38,,+2.77,75,25.7,,+9.5,"eF, vS, R, bM",...
N6079,4168,...,III 884,...,16,05,50,,-0.05,19,59.6,,+9.6,"vF, vS",...
N6080,...,...,...,Sw VI,16,05,50,,+3.02,87,27.5,,+9.5,"pB, pS, R, mbM",...
N6081,5808,...,...,St II,16,06,16,,+2.86,79,46.3,,+9.5,"vF, S, R, bM",...
N6082,4169,3621,...,...,16,06,34,,+3.87,123,53.0,,+9.4,"eF, S, E, lbM",...
N6083,5809,...,...,St VII,16,06,45,,+2.77,75,27.3,,+9.4,"eF, vS, diffic",...
N6084,...,...,...,Sw III,16,06,53,,+2.69,71,52.8,,+9.4,"eeF, pS, R, v diffic",...
N6085,5810,...,...,m 305,16,06,58,,+2.40,60,15,,+9.4,"F, S",...
N6086,5811,...,...,m 306,16,07,00,,+2.40,60,10,,+9.4,"F, vS, stellar N",...
N6087,4170,3622,...,Dunlop 326,16,07,16,,+4.94,147,32.7,,+9.4,"Cl, B, L, lC, st 7...10",...
N6088,4171,...,III 812,...,16,07,18,,+1.20,32,08.5,,+9.4,"vF, vS, lE",...
N6089,4172,1949,III 889,...,16,07,18,,+2.29,56,35.6,,+9.3,"vF, S, R, bM",...
N6090,...,...,...,Sw VI,16,07,59,,+1.52,37,10.6,,+9.4,"vF, S, R",...
N6091,...,...,...,Sw II,16,08,20,,-0.22,19,43.6,,+9.4,"vF, vS, R, * n",...
N6092,...,...,...,Bigourdan,16,08,23,,+2.43,61,31,,+9.4,"vF, stellar N",...
N6093,4173,3624,...,M 80,16,08,42,,+3.57,112,37.5,,+9.3,"!! GC, vB, L, vmbM (var *), rrr, st 14",*
N6094,4174,...,III 314,...,16,08,49,,-0.74,17,10.4,,+9.4,"vF, vS, lE",...
N6095,...,...,...,Sw III,16,08,53,,+0.89,28,24.1,,+9.3,"eF, pS, R, in line with 2 st",...
N6096,5812,...,...,m 307,16,09,01,,+2.47,63,06,,+9.3,"vF, vS, R, bM",...
N6097,...,...,...,St XI,16,09,14,,+2.23,54,32.2,,+9.3,Neb * 13 m,...
N6098,...,...,...,Sw VI,16,09,14,,+2.64,70,11.2,,+9.3,"eF, vS, R, *8 f 41sec, np of 2",...
N6099,...,...,...,Sw VI,16,09,19,,+2.64,70,11.4,,+9.3,"eF, vS, R, sf of 2",...
N6100,...,...,...,Sw IV,16,09,36,,+3.05,88,46.8,,+9.2,"eeF, vS, eeF * close p",...
N6101,4175,3623,...,Dunlop 68,16,09,54,,+6.72,161,51.9,,+9.1,"GC, pF, L, iR, vgbM, rr, st 14",...
N6102,5813,...,...,m 308,16,09,57,,+2.43,61,29,,+9.2,"vF, S, R",...
N6103,4176,1950,III 888,...,16,10,18,,+2.32,57,41.1,,+9.2,"vF, S, R, vglbM",...
N6104,4177,1951,III 688,...,16,11,22,,+2.21,53,56.3,,+9.1,"vF, S, iR",...
N6105,...,...,...,St XI,16,11,57,,+2.23,54,46.4,,+9.0,"F, S, R, gvlbM",...
N6106,4178,1952,II 151,...,16,11,59,,+2.91,82,15.1,,+9.0,"F, pL, lE, vgbM, r",...
N6107,...,...,...,St XI,16,12,08,,+2.23,54,45.1,,+9.0,"F, cS",...
N6108,...,...,...,St XI,16,12,14,,+2.23,54,31.1,,+9.0,"eF, vS, R, lbM",...
N6109,...,...,...,St XI,16,12,29,,+2.23,54,39.0,,+9.0,"F, S, R, gbM",...
N6110,...,...,...,St XI,16,12,32,,+2.23,54,34.0,,+9.0,"eF, vS, R, gbM",...
N6111,...,...,...,Sw VI,16,12,37,,+0.77,27,17.7,,+9.0,"vF, pS, lE, D* nr s",...
N6112,...,...,...,St XI,16,12,49,,+2.23,54,32.7,,+9.0,"vF, vS, R, bM",...
N6113,...,...,...,Sw VI,16,12,52,,+2.77,75,30.6,,+9.0,"vF, S, R",...
N6114,...,...,...,St XI,16,13,14,,+2.22,54,28.9,,+8.9,"eF, S, R, glbM",...
N6115,4179,3625,...,...,16,13,43,,+4.59,141,36.8,,+8.9,"Cl, eL, eRi",...
N6116,...,...,...,St XI,16,13,44,,+2.22,54,30.3,,+8.9,"vF, vS, R, gbM",...
N6117,5814,...,...,m 309,16,14,15,,+2.16,52,35,,+8.9,"vF, S, R",...
N6118,4180,1953,II 402,...,16,14,33,,+3.11,91,56.8,,+8.8,"vF, cL, cE 45d+-, r",...
N6119,4181,1954,...,...,16,14,44,,+2.13,51,53.0,,+8.8,"vF, eS, R",...
N6120,4182,1955,III 623,...,16,14,51,,+2.13,51,54.1,,+8.8,"vF, vS, R, D* sf",...
N6121,4183,...,...,"Lac I 9, M 4",16,15,04,,+3.67,116,11.2,,+8.8,"Cl, 8 or 10 B st in line, with 5 st, rrr",...
N6122,...,...,...,Bigourdan,16,15,10,,+2.13,51,59,,+8.8,"vF, R, no N",...
N6123,...,...,...,Sw II,16,15,13,,+0.79,27,43.6,,+8.8,"pF, vS, E, * nr",...
N6124,4184,3626,...,"Lac I 8, D 514",16,16,01,,+4.10,130,20.1,,+8.7,"Cl, B, L, pRi, lCM, st 9...11",...
N6125,4185,...,II 810,...,16,16,04,,+1.15,32,02.8,,+8.7,"pF, pS, lE",...
N6126,...,...,...,St XII,16,16,23,,+2.18,53,17.4,,+8.7,"F, vS, R, bMSN",...
N6127,...,...,...,Sw IV,16,16,32,,+1.13,31,40.6,,+8.7,"pF, vS, R",...
N6128,...,...,...,Sw IV,16,16,38,,+1.13,31,40.0,,+8.7,"pF, pS, R, bM",...
N6129,4186,...,III 891,...,16,16,46,,+2.12,51,40.8,,+8.7,"eF, vS, R, lbM",...
N6130,...,...,...,Sw IV,16,16,55,,+1.15,32,02.3,,+8.7,"pF, pL, R, B * nr p",...
N6131,...,...,...,St XII,16,17,00,,+2.09,50,44.1,,+8.7,"vF, pL, iR, dif",...
N6132,5815,...,...,St VII,16,17,06,,+2.71,77,53.1,,+8.6,"eF, vS, vlbM",...
N6133,...,...,...,Sw V,16,17,20,,+1.22,32,59.5,,+8.6,"eeF, S, cE, v diffic",...
N6134,4187,3627,...,Dunlop 412,16,17,21,,+4.46,138,49.5,,+8.6,"Cl, cL, pRi, lCM, st 13...15",...
N6135,...,...,...,Sw IV,16,17,54,,+0.46,24,45.6,,+8.6,"vF, vS, mE, 2 st nr",...
N6136,...,...,...,Sw IV,16,01,00,,+1.29,33,41.4,,+8.6,"eeF, S, R, v diffic",...
N6137,4188,1956,III 624,...,16,01,04,,+2.12,51,44.8,,+8.6,"F, S, iR, bM",...
N6138,5816,...,...,St II,16,01,09,,+2.01,48,44.3,,+8.6,"vF, vS, R, bM",...
N6139,4189,3628,...,Dunlop 536,16,01,15,,+4.04,128,31.0,,+8.5,"B, pL, R, psbM, rr",...
N6140,4190,...,III 740,...,16,01,23,,+0.40,24,17.6,,+8.6,"cF, pL, iR",*
N6141,...,...,...,Bigourdan,16,01,24,,+2.02,48,52,,+8.5,"vF, pS, no Nucl",...
N6142,4191,...,III 892,...,16,01,24,,+2.14,52,26.8,,+8.5,"eF, S, bM",...
N6143,4192,...,II 811,...,16,01,37,,+1.32,34,35.1,,+8.5,"pB, iR, vgvlbM",...
N6144,4193,3629,VI 10,...,16,01,43,,+3.66,115,43.1,,+8.5,"Cl, cL, mC, gbM, rrr",...
N6145,4194,1957,...,...,16,20,21,,+2.01,48,44.7,,+8.4,"F, R, bM",...
N6146,4195,1958,III 638,...,16,20,27,,+2.01,48,46.9,,+8.4,"cF, vS, R, bM",...
N6147,4196,...,...,Ld R,16,20,,,+2.01,48,47,+-,+8.4,"cF, one of 3",...
N6148,5817,...,...,m 310,16,20,38,,+2.52,65,31,,+8.4,"cF, S, with st",...
N6149,...,...,...,Sw VI,16,21,09,,+2.63,70,05.9,,+8.3,"vF, pS, R, pB * nr s",...
N6150,4198,1959,III 639,...,16,21,10,,+2.03,49,13.0,,+8.3,"vF, vS, R",...
N6151,4199,3630,...,...,16,21,41,,+7.07,162,57.0,,+8.2,"vF, vS * nr",...
N6152,4200,3631,...,...,16,21,50,,+4.65,142,19.0,,+8.2,"Cl, L, lC, st L",...
N6153,...,...,...,Copeland,16,21,54,,+4.09,129,56,,+8.2,"PN, stellar",...
N6154,4201,...,III 680,...,16,22,07,,+1.62,39,48.8,,+8.3,"vF, S, R, lbM, er",...
N6155,4202,...,II 690,...,16,22,35,,+1.69,41,17.8,,+8.2,"F, pS, iF, gbM",...
N6156,4203,3632,...,...,16,22,36,,+5.22,150,18.0,,+8.1,"pF, pL, vlE, gbM",...
N6157,...,...,...,Sw IV,16,22,44,,+1.29,34,19.3,,+8.2,"eeF, pS, R, v diffic",...
N6158,4205,...,II 647,Schultz,16,22,52,,+2.06,50,18.2,,+8.2,"F, S, iF",...
N6159,...,...,...,St X,16,22,54,,+1.94,47,00.4,,+8.2,"vF, S, iR, lbM",...
N6160,4204,1960,II 652,...,16,23,01,,+2.00,48,45.3,,+8.2,"cF, pL, R, gbM, r",...
N6161,5818,...,...,St I,16,23,02,,+2.28,56,52.7,,+8.2,"vF, S, lbM",...
N6162,5819,...,...,St I,16,23,03,,+2.28,56,50.3,,+8.2,"F, S, lbM",...
N6163,5820,...,...,St I,16,23,10,,+2.28,56,50.5,,+8.2,"vF, S, lbM",...
N6164,4206,3633,...,...,16,23,23,,+4.42,137,48.0,,+8.1,"eF (strongly susp), D* f nr",...
N6165,4207,3634,...,...,16,23,40,,+4.43,137,51.3,,+8.1,"F, cS, lE, vglbM, D* p",...
N6166,4208,1961,II 875,...,16,23,51,,+2.05,50,08.3,,+8.1,"pF, S, vlE, vgmbM",...
N6167,4209,3655,...,Dunlop 400,16,23,51,,+4.51,139,27.8,,+8.1,"Cl, L, lC, iF",...
N6168,...,...,...,Sw I,16,23,55,,+2.62,69,31.2,,+8.1,"eeF, mE, F * at p end, v diffic",...
N6169,4210,3636,...,...,16,24,07,,+4.25,133,44.3,,+8.0,"Cl, mu Normae inv",...
N6170,...,...,...,Sw IV,16,24,41,,+0.97,30,07.4,,+8.1,"eeF, vS, R, v diffic",...
N6171,4211,3637,VI 40,Mechain,16,24,42,,+3.35,102,44.8,,+8.0,"GC, L, vRi, vmC, R, rrr",...
N6172,...,...,...,St XIII,16,24,57,,+3.10,91,11.3,,+8.0,"vF, eS, R, bM",...
N6173,4212,1962,III 640,...,16,25,05,,+2.00,48,52.6,,+8.0,"cF, vS, R, bM",...
N6174,4213,...,...,Ld R,16,25,19,,+2.00,48,53,,+8.0,vF,*
N6175,4214,1963,III 641,...,16,25,19,,+2.01,49,03.9,,+8.0,"vF, vS, R",...
N6176,...,...,...,Sw V,16,25,28,,+0.97,30,07.2,,+8.0,"eF, eS, v diffic",...
N6177,4215,1964,III 890,...,16,25,34,,+2.20,54,38.0,,+8.0,"vF, pL, iE, rr, * nr",...
N6178,4216,3638,...,...,16,25,36,,+4.32,135,19.3,,+7.9,"Cl, B, S, st pL",...
N6179,4217,...,...,Ld R,16,25,48,,+2.20,54,35.2,,+7.9,"vF, S, bMN, 4' nf h 1964",...
N6180,5821,...,...,St VII,16,25,52,,+2.01,49,09.4,,+7.9,"eF, vS, R, mbM",...
N6181,4218,...,II 753,Schultz,16,26,14,,+2.62,69,52.4,,+7.9,"pB, pL, vlE, pgmbM",...
N6182,4219,...,III 813,...,16,26,50,,+1.26,34,09.9,,+7.9,"vF, vS, iR",...
N6183,4220,3639,...,...,16,26,50,,+6.31,159,04.9,,+7.8,"vF, eS, R, gbM",...
N6184,5822,...,...,St VII,16,26,53,,+2.01,49,08.0,,+7.9,"eF, vS, R, vlbM",...
N6185,4221,1965,...,...,16,28,15,,+2.19,54,21.7,,+7.8,"F, S, R, gbM, *11 np",...
N6186,4222,...,III 730,...,16,28,19,,+2.58,68,09.9,,+7.7,"eF, vS, E",...
N6187,...,...,...,Young,16,28,58,,+1.10,31,59.3,,+7.7,"vF, vS, lbM",...
N6188,4223,3640,...,...,16,29,15,,+4.48,138,44,,+7.6,"!F, vL, viE, B * inv",...
N6189,...,...,...,Sw II,16,29,21,,+0.95,30,05.3,,+7.7,"vF, pS, lE",...
N6190,...,...,...,Sw II,16,29,34,,+1.04,31,15.9,,+7.7,"vF, pS, R, F * nr",...
N6191,...,...,...,Sw IV,16,29,35,,+1.02,30,54.3,,+7.7,"pF, pL, E, 2 st p",...
N6192,4224,3641,...,Dunlop 483,16,30,29,,+4.23,133,05.3,,+7.5,"Cl, pL, pRi, iR, st 11...14",#
N6193,4225,3642,...,Dunlop 413,16,30,52,,+4.47,138,29.1,,+7.5,"Cl, vL, lRi, lC, rrr, F neb inv",...
N6194,4227,1967,...,Schultz,16,31,35,,+2.16,53,30.9,,+7.5,"vF, vS, sbM *12",...
N6195,4226,1966,III 893,...,16,31,44,,+2.06,50,41.5,,+7.5,"vF, S, R, gbM, bet 2 st",...
N6196,5823,...,...,m 311,16,32,13,,+2.16,53,37,,+7.4,"vF, vS, stellar",...
N6197,5824,...,...,m312,16,32,18,,+2.16,53,42,,+7.4,"eF, E, stellar",...
N6198,...,...,...,Sw IV,16,33,08,,+1.10,32,12.8,,+7.4,"vF, vS, R, 2 st f",...
N6199,5825,...,...,m313,16,33,50,,+2.16,53,38,,+7.3,eF,...
N6200,4228,3643,...,...,16,33,50,,+4.42,137,11.8,,+7.2,Cl (in Milky Way),...
N6201,5826,...,...,m 314,16,34,22,,+2.52,65,58,,+7.2,"eF, vS",...
N6202,...,...,...,Sw IV,16,34,32,,+0.71,27,45.5,,+7.3,"eeF, pS, * f",...
N6203,5827,...,...,m 315,16,34,34,,+2.52,65,57,,+7.2,"eF, vS",...
N6204,4229,3644,...,Dunlop 442,16,36,07,,+4.40,136,45.6,,+7.1,"Cl, pRi, eiCM, st 11...12",#
N6205,4230,1968,...,"Halley 1714, M13",16,36,40,,+2.14,53,16.3,,+7.1,"!! GC, eB, vRi, vgeCM, st 11...",#
N6206,...,...,...,Sw V,16,37,25,,+1.00,31,07.1,,+7.0,"pF, eS, R, stell, 3 vF st nr",...
N6207,4231,1969,II 701,...,16,38,06,,+2.13,52,54.1,,+7.0,"pB, pL, E 45d+-, vgmbM",...
N6208,4232,3646,...,Dunlop 364,16,38,18,,+4.78,143,33.5,,+6.9,"Cl, L, Ri, lCM, st 9...12",...
N6209,4233,3645,...,...,16,38,24,,+7.03,162,20.5,,+6.8,"vF, pL, vgvlbM",...
N6210,4234,1970,...,"Struve5, LL30510",16,38,38,,+2.51,65,56.2,,+6.9,"PN, vB, vS, R, disc & border",#
N6211,...,...,...,Sw VI,16,38,38,,+1.06,31,55.5,,+6.9,"vF, pS, R, sp of 2",...
N6212,5828,...,...,St II,16,38,41,,+2.02,49,55.8,,+6.9,cF,...
N6213,...,...,...,Sw VI,16,38,53,,+1.06,31,54.3,,+6.9,"eF, vS, R, nf of 2",...
N6214,...,...,...,Sw I & IV,16,38,54,,+0.22,23,41.5,,+6.9,"eF, vS, R",...
N6215,4235,3647,...,...,16,39,04,,+5.15,148,44.8,,+6.8,"pF, R, vglbM, *4 p 79sec",...
N6216,4237,3648,...,Dunlop 454,16,39,20,,+4.31,134,28.3,,+6.8,"Cl, pS, pRi, pC, st 12...15",...
N6217,4236,...,I 280,G Rumker,16,39,25,,-3.04,11,31.3,,+7.0,"B, cL, lE, slbM",...
N6218,4238,1971,...,M 12,16,39,58,,+3.11,91,41.7,,+6.8,"!! GC, vB, vL, iR, gmbM, rrr, st 10...",...
N6219,5829,...,...,m 316,16,40,08,,+2.89,80,41,,+6.8,"F, S,",...
N6220,...,...,...,Sw VI,16,40,08,,+3.07,90,00.2,,+6.8,"eeF, pS, iR, 3 F st s",...
N6221,4239,3649,...,...,16,40,40,,+5.17,148,58.0,,+6.7,"GC, pB, cL, R, glbM, rr",...
